Threads,Execution Time,Speed-Up,Parallelization_Fraction
1,0.52914,1.0,
2,0.46783,1.1310518778188658,23.17345126053596
4,0.32279,1.6392701136962111,51.99632107444785
6,0.22322,2.370486515545202,69.37748043995919
8,0.27487,1.9250554807727291,54.91822310055671
10,0.17391,3.042608245644299,74.59273538194053
12,0.2045,2.5874816625916877,66.92987248605802
16,0.18538,2.854353220412127,69.29684645525444
32,0.19503,2.7131210582987233,65.17892087830893
64,0.19221,2.7529264866552214,64.68573444421047
128,0.19157,2.762123505768127,64.29830129947896
150,0.1863,2.8402576489533016,65.2267716667263
